;Tweet Id;Text;
99;1,11815E+18;Ikut terharu dan merasakan bagaimana emosionalnya setelah mencium Hajar Aswad    @andrisuat @sewibutahun @Mz_Adam07 @minananai @FaradhilaK;
"#jkwamin #2019tetapjokowi #jkwdodopresidenku #GenerasiOptimis #BajuPutihPastiMenang #PutihAdalahKita #BarengJokowi #17RabuPutih https://t.co/jS7Pe2maEO""";;;
100;1,11815E+18;Keislaman Jokowi tak perlu dipertanyakan lagi.... Stop finah beliau !!!;
;;;
"#RabuPutih #2019tetapjokowi #jokowi #pilpres2019 #nkri #jokowimaruf #jokowi2periode #umkm #ingatjokowi #nawacita #jokowijk #salamsatujempol #prabowo #debatpilpres2019 #prabowosandi2019 #kubuhoax https://t.co/K1sHsujqiS""";;;
101;1,11815E+18;Ingat, buat yg punya hak pilih .  Silahkan datang ke TPS, karena hanya di TPS anda bisa memilih dan mencoblos , sedangkan kalau di rumah anda hanya bisa mencoblos tapi tidak bisa memilih.;
;;;
"#Pemilu2019 #2019GantiPresiden #2019TetapJokowi #01TheChampion #BismillahInsyaAllahPrabowo""";;;
102;1,11815E+18;Nahhhh lohhhhh.....;
;;;
"#SoehartoDiktatorTerkorupSedunia #RabuPutih #2019tetapjokowi #jokowi #pilpres2019 #nkri #jokowimaruf #jokowi2periode #umkm #ingatjokowi #nawacita #jokowijk #salamsatujempol #prabowo #debatpilpres2019 #prabowosandi2019 #kubuhoax #kecebong #kampret #sandi https://t.co/v8t9bMB8zS""";;;
103;1,11815E+18;Memilih seseorang yang bisa diterima oleh semua orang itu sulit karena setiap orang memiliki alasan tersendiri terhadap orang yang menjadi pilihannya. ;
;;;
#2019jokowilanjut ;;;
#2019TetapJokowi ;;;
#2019JokowiMaruf ;;;
"#2019JokowiMarufAmin""";;;
104;1,11815E+18;Musuh Jokowi akan TETAP serang Jokowi siapapun cawapresnya, dan akan TETAP dukung siapapun lawan Jokowi. Kalo gak mau diserang mereka, jangan calonkan Jokowi. Jika masih ingin jadikan Jokowi Presiden, dukung dan pilih dia..!! As simple as that. ;
#Jokowi2Periode ;;;
"#2019TetapJokowi""";;;
105;1,11815E+18;Bajingan #02 diakui sendiri lho;
